"word","transportation","health","show business"
"veterans","1.00","0.00","0.00"
"join","1.00","0.00","0.00"
"airlines","1.00","0.00","0.00"
"pushback","1.00","0.00","0.00"
"against","1.00","0.00","0.00"
"conduct","1.00","0.00","0.00"
"unbecoming","1.00","0.00","0.00"
"support","1.00","0.00","0.00"
"help","1.00","0.00","0.00"
"holiday","1.00","0.00","0.00"
"crowds","1.00","0.00","0.00"
"york","1.00","0.00","0.00"
"close","1.00","0.00","0.00"
"streets","1.00","0.00","0.00"
"rockefeller","1.00","0.00","0.00"
"center","1.00","0.00","0.00"
"could","1.00","0.00","0.00"
"city","1.00","0.00","0.00"
"eliminate","1.00","0.00","0.00"
"free","1.00","0.00","0.00"
"street","1.00","0.00","0.00"
"parking","1.00","0.00","0.00"
"california","1.00","0.00","0.00"
"stop","1.00","0.00","0.00"
"buying","1.00","0.00","0.00"
"automakers","1.00","0.00","0.00"
"backed","1.00","0.00","0.00"
"trump","0.50","0.50","0.00"
"emissions","1.00","0.00","0.00"
"cities","1.00","0.00","0.00"
"worldwide","1.00","0.00","0.00"
"reimagining","1.00","0.00","0.00"
"relationship","1.00","0.00","0.00"
"cars","1.00","0.00","0.00"
"coast","1.00","0.00","0.00"
"guard","1.00","0.00","0.00"
"ignored","1.00","0.00","0.00"
"calls","1.00","0.00","0.00"
"safeguards","1.00","0.00","0.00"
"before","1.00","0.00","0.00"
"duck","1.00","0.00","0.00"
"boat","1.00","0.00","0.00"
"sank","1.00","0.00","0.00"
"report","1.00","0.00","0.00"
"handcuffed","1.00","0.00","0.00"
"selling","1.00","0.00","0.00"
"churros","1.00","0.00","0.00"
"inside","1.00","0.00","0.00"
"world","1.00","0.00","0.00"
"illegal","1.00","0.00","0.00"
"food","1.00","0.00","0.00"
"vendors","1.00","0.00","0.00"
"weekly","0.00","1.00","0.00"
"quiz","0.00","1.00","0.00"
"memory","0.00","1.00","0.00"
"canker","0.00","1.00","0.00"
"sores","0.00","1.00","0.00"
"exercise","0.00","1.00","0.00"
"mental","0.00","1.00","0.00"
"takes","0.00","1.00","0.00"
"hands","0.00","1.00","0.00"
"approach","0.00","1.00","0.00"
"care","0.00","1.00","0.00"
"poverty","0.00","1.00","0.00"
"impacts","0.00","1.00","0.00"
"access","0.00","1.00","0.00"
"women","0.00","1.00","0.00"
"change","0.00","1.00","0.00"
"elizabeth","0.00","1.00","0.00"
"warren","0.00","1.00","0.00"
"vows","0.00","1.00","0.00"
"expand","0.00","1.00","0.00"
"coverage","0.00","1.00","0.00"
"first","0.00","1.00","0.00"
"days","0.00","1.00","0.00"
"years","0.00","1.00","0.00"
"terrified","0.00","1.00","0.00"
"issues","0.00","1.00","0.00"
"readers","0.00","1.00","0.00"
"hope","0.00","1.00","0.00"
"come","0.00","1.00","0.00"
"democratic","0.00","1.00","0.00"
"debate","0.00","1.00","0.00"
"devious","0.00","1.00","0.00"
"lies","0.00","1.00","0.00"
"bernard","0.00","1.00","0.00"
"tyson","0.00","1.00","0.00"
"chairman","0.00","1.00","0.00"
"giant","0.00","1.00","0.00"
"dies","0.00","1.00","0.00"
"paramount","0.00","0.00","1.00"
"deal","0.00","0.00","1.00"
"broadway","0.00","0.00","1.00"
"music","0.00","0.00","1.00"
"review","0.00","0.00","1.00"
"stravinsky","0.00","0.00","1.00"
"eating","0.00","0.00","1.00"
"home","0.00","0.00","1.00"
"design","0.00","0.00","1.00"
"view","0.00","0.00","1.00"
