"word","transportation","health","show business"
"veterans","1","0","0"
"join","1","0","0"
"airlines","1","0","0"
"pushback","1","0","0"
"against","1","0","0"
"conduct","1","0","0"
"unbecoming","1","0","0"
"support","1","0","0"
"help","1","0","0"
"holiday","1","0","0"
"crowds","1","0","0"
"york","2","0","0"
"close","1","0","0"
"streets","1","0","0"
"rockefeller","1","0","0"
"center","1","0","0"
"could","1","0","0"
"city","1","0","0"
"eliminate","1","0","0"
"free","1","0","0"
"street","1","0","0"
"parking","1","0","0"
"california","1","0","0"
"stop","1","0","0"
"buying","1","0","0"
"automakers","1","0","0"
"backed","1","0","0"
"trump","1","1","0"
"emissions","1","0","0"
"cities","1","0","0"
"worldwide","1","0","0"
"reimagining","1","0","0"
"relationship","1","0","0"
"cars","1","0","0"
"coast","1","0","0"
"guard","1","0","0"
"ignored","1","0","0"
"calls","1","0","0"
"safeguards","1","0","0"
"before","1","0","0"
"duck","1","0","0"
"boat","1","0","0"
"sank","1","0","0"
"report","1","0","0"
"handcuffed","1","0","0"
"selling","1","0","0"
"churros","1","0","0"
"inside","1","0","0"
"world","1","0","0"
"illegal","1","0","0"
"food","1","0","0"
"vendors","1","0","0"
"weekly","0","1","0"
"quiz","0","1","0"
"memory","0","1","0"
"canker","0","1","0"
"sores","0","1","0"
"exercise","0","1","0"
"mental","0","1","0"
"takes","0","1","0"
"hands","0","1","0"
"approach","0","1","0"
"care","0","4","0"
"poverty","0","1","0"
"impacts","0","1","0"
"access","0","1","0"
"women","0","1","0"
"change","0","1","0"
"elizabeth","0","1","0"
"warren","0","1","0"
"vows","0","1","0"
"expand","0","1","0"
"coverage","0","1","0"
"first","0","1","0"
"days","0","1","0"
"years","0","1","0"
"terrified","0","1","0"
"issues","0","1","0"
"readers","0","1","0"
"hope","0","1","0"
"come","0","1","0"
"democratic","0","1","0"
"debate","0","1","0"
"devious","0","1","0"
"lies","0","1","0"
"bernard","0","1","0"
"tyson","0","1","0"
"chairman","0","1","0"
"giant","0","1","0"
"dies","0","1","0"
"paramount","0","0","1"
"deal","0","0","1"
"broadway","0","0","1"
"music","0","0","1"
"review","0","0","1"
"stravinsky","0","0","1"
"eating","0","0","1"
"home","0","0","1"
"design","0","0","1"
"view","0","0","1"
