"word","transportation","health","show business"
"veterans","0.67","0.17","0.17"
"join","0.67","0.17","0.17"
"airlines","0.67","0.17","0.17"
"pushback","0.67","0.17","0.17"
"against","0.67","0.17","0.17"
"conduct","0.67","0.17","0.17"
"unbecoming","0.67","0.17","0.17"
"support","0.67","0.17","0.17"
"help","0.67","0.17","0.17"
"holiday","0.67","0.17","0.17"
"crowds","0.67","0.17","0.17"
"york","0.78","0.11","0.11"
"close","0.67","0.17","0.17"
"streets","0.67","0.17","0.17"
"rockefeller","0.67","0.17","0.17"
"center","0.67","0.17","0.17"
"could","0.67","0.17","0.17"
"city","0.67","0.17","0.17"
"eliminate","0.67","0.17","0.17"
"free","0.67","0.17","0.17"
"street","0.67","0.17","0.17"
"parking","0.67","0.17","0.17"
"california","0.67","0.17","0.17"
"stop","0.67","0.17","0.17"
"buying","0.67","0.17","0.17"
"automakers","0.67","0.17","0.17"
"backed","0.67","0.17","0.17"
"trump","0.44","0.44","0.11"
"emissions","0.67","0.17","0.17"
"cities","0.67","0.17","0.17"
"worldwide","0.67","0.17","0.17"
"reimagining","0.67","0.17","0.17"
"relationship","0.67","0.17","0.17"
"cars","0.67","0.17","0.17"
"coast","0.67","0.17","0.17"
"guard","0.67","0.17","0.17"
"ignored","0.67","0.17","0.17"
"calls","0.67","0.17","0.17"
"safeguards","0.67","0.17","0.17"
"before","0.67","0.17","0.17"
"duck","0.67","0.17","0.17"
"boat","0.67","0.17","0.17"
"sank","0.67","0.17","0.17"
"report","0.67","0.17","0.17"
"handcuffed","0.67","0.17","0.17"
"selling","0.67","0.17","0.17"
"churros","0.67","0.17","0.17"
"inside","0.67","0.17","0.17"
"world","0.67","0.17","0.17"
"illegal","0.67","0.17","0.17"
"food","0.67","0.17","0.17"
"vendors","0.67","0.17","0.17"
"weekly","0.17","0.67","0.17"
"quiz","0.17","0.67","0.17"
"memory","0.17","0.67","0.17"
"canker","0.17","0.67","0.17"
"sores","0.17","0.67","0.17"
"exercise","0.17","0.67","0.17"
"mental","0.17","0.67","0.17"
"takes","0.17","0.67","0.17"
"hands","0.17","0.67","0.17"
"approach","0.17","0.67","0.17"
"care","0.07","0.87","0.07"
"poverty","0.17","0.67","0.17"
"impacts","0.17","0.67","0.17"
"access","0.17","0.67","0.17"
"women","0.17","0.67","0.17"
"change","0.17","0.67","0.17"
"elizabeth","0.17","0.67","0.17"
"warren","0.17","0.67","0.17"
"vows","0.17","0.67","0.17"
"expand","0.17","0.67","0.17"
"coverage","0.17","0.67","0.17"
"first","0.17","0.67","0.17"
"days","0.17","0.67","0.17"
"years","0.17","0.67","0.17"
"terrified","0.17","0.67","0.17"
"issues","0.17","0.67","0.17"
"readers","0.17","0.67","0.17"
"hope","0.17","0.67","0.17"
"come","0.17","0.67","0.17"
"democratic","0.17","0.67","0.17"
"debate","0.17","0.67","0.17"
"devious","0.17","0.67","0.17"
"lies","0.17","0.67","0.17"
"bernard","0.17","0.67","0.17"
"tyson","0.17","0.67","0.17"
"chairman","0.17","0.67","0.17"
"giant","0.17","0.67","0.17"
"dies","0.17","0.67","0.17"
"paramount","0.17","0.17","0.67"
"deal","0.17","0.17","0.67"
"broadway","0.17","0.17","0.67"
"music","0.17","0.17","0.67"
"review","0.17","0.17","0.67"
"stravinsky","0.17","0.17","0.67"
"eating","0.17","0.17","0.67"
"home","0.17","0.17","0.67"
"design","0.17","0.17","0.67"
"view","0.17","0.17","0.67"
